segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
1,1,1,CADC0872,0.0,0.1876923076923077,0.2635658914728682,3.5026964667170295e-05,1.2301840004748557e-09,2.858479392059213e-05,0.07531401851878822,0.3503507584815819,0.06521739130434782,0.6000000000000001,0.5,0.016666666666666666,0.0234375,1.2707547530981932e-09,9.74556540683924e-10,0.008873157486423585,0.18461538461538463,7.259098983635249e-10,1.4990731882563236e-10
2,1,1,CADC0872,0.0,0.3392307692307692,0.45445736434108525,3.101084715067458e-05,2.324649706727227e-09,4.152738677163186e-05,0.018608310165559784,0.32886521526892365,0.0,0.2,0.25,0.020833333333333332,0.03125,1.294721113643282e-11,8.626332078333438e-12,0.02511636927851047,0.33615384615384614,7.900508735261391e-10,1.6357870913571202e-10
3,1,1,CADC0872,0.0,0.43,0.5687984496124031,4.473006219716306e-05,2.00036642441174e-09,3.807968642537809e-05,0.04761614317302301,0.11611386352894182,0.043478260869565216,0.4,0.5,0.008333333333333333,0.01171875,3.920803516493731e-11,3.266872418851321e-11,0.03132273079906905,0.4269230769230769,5.415834802356731e-10,1.1155868906423333e-10
4,1,1,CADC0872,0.0,0.18153846153846154,0.2558139534883721,3.5022822671744554e-05,1.953811360202008e-09,3.7562944571616545e-05,0.029392188045412493,0.2329892170676247,0.021739130434782608,0.4,0.5,0.0125,0.0234375,2.4591196028062265e-10,2.0442518389312286e-10,0.010327773467804498,0.17846153846153845,1.1792419671260613e-09,2.447406730375676e-10
5,0,0,CADC0872,0.0,0.16923076923076924,0.24127906976744184,4.372616173137531e-05,1.8851821096909967e-09,3.679012680334536e-05,0.01132524846168062,0.24630390955497486,0.0,0.2,0.25,0.325,0.33984375,3.589125519483847e-12,1.0415559739595994e-12,0.01120054305663305,0.16692307692307692,1.210799359830552e-09,2.5028502895519914e-10
6,0,1,CADC0872,0.0,0.1669230769230769,0.23740310077519378,3.9919122868711396e-05,2.385826685510727e-09,4.215082148231933e-05,0.01683284567656848,0.2260649373573308,0.0,0.2,0.25,0.275,0.328125,4.473672424756233e-12,1.1182244083047219e-12,0.010861132660977501,0.16384615384615384,1.5463890946215283e-09,3.214674813581038e-10
7,0,0,CADC0872,0.0,0.26384615384615384,0.36046511627906974,3.693769852152672e-05,1.358428994873703e-09,3.0332748260777182e-05,0.03395077609112855,0.2432210568891613,0.0,0.2,0.25,0.46249999999999997,0.49609375,1.833715794684586e-12,9.665579419340062e-13,0.019491854150504265,0.26153846153846155,5.862298008885552e-10,1.2046505802940087e-10
8,1,1,CADC0872,0.0,0.27999999999999997,0.3798449612403101,3.5623318284005496e-05,5.541771456976628e-10,1.739914691320358e-05,0.052852308495005086,0.3582880657533571,0.043478260869565216,0.6000000000000001,0.5,0.004166666666666667,0.0078125,1.9724915712956426e-10,1.9472465794014807e-10,0.019831264546159813,0.27692307692307694,2.2883705268415021e-10,4.59500727533337e-11
9,1,1,CADC0872,0.0,0.36769230769230765,0.4903100775193798,3.4637203421634816e-05,5.839417326813662e-10,1.799626786587721e-05,0.03022593460505935,0.3085328045926501,0.0,0.2,0.25,0.016666666666666666,0.0078125,9.358759219152924e-12,6.99644448069286e-12,0.028171062839410396,0.3646153846153846,1.836462697766209e-10,3.650706230356833e-11
10,0,1,CADC0872,0.0,0.2153846153846154,0.29941860465116277,3.8207860325363307e-05,2.263919220144376e-09,4.090051496663214e-05,0.019421933037700297,0.2347434826726486,0.0,0.2,0.25,0.4041666666666667,0.40625,3.3353403097028863e-12,1.5007012762130993e-12,0.015273467804499612,0.21307692307692308,1.1712438418263163e-09,2.424104697934775e-10
