channel,samples,train_normal_samples,validation_normal_samples,test_samples,test_positive_samples,mean,std,threshold,precision,recall,f1,f0_5,roc_auc,pr_auc,events,detected_events,event_recall
channel_1,10513336,6308001,2102667,2102668,0,0.13806079343648256,0.005357609410648261,3.5,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_2,10513336,6308001,2102667,2102668,0,0.12672095855108206,0.014589380637562014,3.5,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_3,10513336,6308001,2102667,2102668,0,0.1267943032877109,0.015470948876217035,3.5,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_4,3589376,2153625,717875,717876,0,0.05462199218906676,0.0285889733823307,5.166406716903876,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_5,3589376,2153625,717875,717876,0,0.05396246043953826,0.041848000768857196,5.143898190768202,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_6,3589376,2153625,717875,717876,0,0.07704610315036688,0.03579610849508025,5.061193258076941,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_7,3589376,2153625,717875,717876,0,0.06303498600096667,0.04741350471286534,5.119055122747047,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_8,3589376,2153625,717875,717876,0,0.08033596278921884,0.0610719597752789,3.7365610548226043,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_9,3589376,2153625,717875,717876,0,0.07932610479247118,0.06028649281078829,3.7425078429429965,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_10,3589376,2153625,717875,717876,0,0.05294627048359747,0.026018582676062524,3.545139801435225,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_11,3589376,2153625,717875,717876,0,0.026525820834378502,0.0021214883295393406,16.48772192834825,0.0,0.0,0.0,0.0,,,0,0,0.0
channel_12,14258506,8363923,2851701,2851702,1727,0.264135882996947,0.036774869278511924,3.5,0.0,0.0,0.0,0.0,0.9958474248443335,0.11433684143940952,1,0,0.0
channel_13,14258506,8387568,2851701,2851702,1706,0.31600713002996217,0.03576265038671225,3.5,0.0,0.0,0.0,0.0,0.9899504668604071,0.047805878940323565,1,0,0.0
channel_14,5272893,3059903,1013428,1054580,81876,0.23817833357037158,0.056645893745186096,3.5,0.27033363799964805,0.5815990033709512,0.3691037690146304,0.30273805043281904,0.7101109290146768,0.33111638073195987,23,9,0.391304347826087
channel_15,5272893,3000896,992078,1054580,73263,0.09272880005443813,0.044704028210437056,3.5,0.2118824707060001,0.49116197807897577,0.29605130546745484,0.2390699763348362,0.7220406516732272,0.246254491588621,9,5,0.5555555555555556
channel_16,5272893,2947139,1016861,1054580,47510,0.7372543788365292,0.06692935289870273,3.5,0.0,0.0,0.0,0.0,0.28864419572356337,0.030238414551808892,5,0,0.0
channel_17,14258506,8344539,2851701,2851702,1712,0.30200559955500406,0.037671209768825736,3.5,0.0,0.0,0.0,0.0,0.9799231536490389,0.025081678764733318,1,0,0.0
channel_18,14258506,8353438,2851701,2851702,1746,0.3236756348228182,0.036748520157490305,3.5,0.0,0.0,0.0,0.0,0.9223326853934252,0.004283889356289621,1,0,0.0
channel_19,14258506,8370631,2851701,2851702,1876,0.2683657763854988,0.04531607799189125,3.5,0.0,0.0,0.0,0.0,0.9532188589969007,0.00869376584975895,1,0,0.0
channel_20,14258506,8364218,2851701,2851702,1787,0.3163777786233255,0.03651077754668768,3.5,0.0,0.0,0.0,0.0,0.8493892441471523,0.0023161587503975024,1,0,0.0
channel_21,5272893,3061417,1007774,1054580,81571,0.24436649504173585,0.05767284980345361,3.5,0.27022566539816134,0.5841169042919665,0.36950840267706886,0.3027655386007475,0.7124963733083781,0.3393614317671555,21,7,0.3333333333333333
channel_22,5272893,2952214,965639,1054580,98341,0.30980615769752773,0.045490312549960575,3.5,0.2562632346846668,0.4590150598427919,0.32890326717379265,0.2810958378636218,0.6253129265748429,0.36373895472947243,9,3,0.3333333333333333
channel_23,5272893,2998229,992523,1054580,74446,0.09880595809678473,0.04457627527264055,3.5,0.21464704462072093,0.4896032023211455,0.2984503899613109,0.24180622596798118,0.7179036133159225,0.2532585668472486,9,5,0.5555555555555556
channel_24,5272893,2946780,1016083,1054580,47226,0.7305965677785523,0.06686622451225356,3.5,0.0,0.0,0.0,0.0,0.28563335247623073,0.03005639708480347,4,0,0.0
channel_25,14258506,8376170,2851701,2851702,1678,0.258631006347828,0.03681774921471171,3.5,0.0,0.0,0.0,0.0,0.8148595436247118,0.0016615776262739218,1,0,0.0
channel_26,14258506,8348592,2851701,2851702,1710,0.36273947031588516,0.036091683166412605,3.5,0.0,0.0,0.0,0.0,0.9619164319312176,0.008489716135181203,2,0,0.0
channel_27,14258506,8362005,2851701,2851702,1706,0.23421663358170666,0.03893048339007409,3.5,0.0,0.0,0.0,0.0,0.8631806809495828,0.002279078984997703,1,0,0.0
channel_28,14258506,8360907,2851701,2851702,1718,0.17576919532065968,0.04186681790973446,3.5,0.0,0.0,0.0,0.0,0.7083398637432703,0.0010811338637914747,1,0,0.0
channel_29,5272893,3088276,1007991,1054580,78935,0.2595409215125928,0.05257536708819775,3.5,0.2539898826455008,0.5667447900171027,0.3507770476892436,0.2855002188988177,0.6784851090365782,0.2819488410332934,21,7,0.3333333333333333
channel_30,5272893,3032229,1005649,1054580,78078,0.12130062420924685,0.05049664068972418,3.5,0.20698540954569958,0.44751402443710137,0.28305257060922606,0.2319152438425411,0.6946106174194524,0.2354636341507575,9,3,0.3333333333333333
channel_31,5272893,2945899,968082,1054580,95459,0.30792131832237596,0.04555612410912584,3.5,0.2404728679532124,0.44408594265600937,0.311998380834974,0.2647504443525693,0.608099305639631,0.3215551286899323,9,3,0.3333333333333333
channel_32,5272893,2946861,1015866,1054580,47243,0.7457180311796198,0.06697919289382996,3.5,0.0,0.0,0.0,0.0,0.28369957873217094,0.029965636099166144,4,0,0.0
channel_33,5272893,2947739,1015850,1054580,47219,0.7791458749177858,0.06728504522009132,3.5,0.0,0.0,0.0,0.0,0.2781022196297104,0.02959485319967997,4,0,0.0
channel_34,14258506,8363230,2851701,2851702,1709,0.15468944036516646,0.03721811840279555,3.5,0.0,0.0,0.0,0.0,0.9893129182245574,0.04024726942746685,1,0,0.0
channel_35,14258506,8366221,2851701,2851702,1843,0.1960756159020015,0.03742264193908104,3.5,0.0,0.0,0.0,0.0,0.995310633388949,0.5918607823942255,1,0,0.0
channel_36,14258506,8365326,2851701,2851702,1793,0.23846038609010894,0.0414311712735938,3.5,0.0,0.0,0.0,0.0,0.953639777248163,0.021696226101316336,1,0,0.0
channel_37,14258506,8363582,2851701,2851702,1890,0.2759529206719051,0.03871745492052639,3.5,0.0,0.0,0.0,0.0,0.9940321729345005,0.17908201499422322,1,0,0.0
channel_38,5272893,3031769,1004971,1054580,78052,0.12075609717583254,0.05054736992017804,3.5,0.20536551216791846,0.4434992056577666,0.28073476339159,0.23007268531565203,0.6987641693471242,0.2345575321716719,9,3,0.3333333333333333
channel_39,5272893,2940663,969573,1054580,95467,0.310559702928976,0.04642172130735394,3.5,0.23975127062097162,0.442236584369468,0.3109345195572282,0.2639192245516956,0.5919669138819023,0.3111959123568304,9,3,0.3333333333333333
channel_40,5272893,2948267,1014837,1054580,47239,0.78276473259649,0.06732078452824629,3.5,0.0,0.0,0.0,0.0,0.2779077626638938,0.029599264164932058,4,0,0.0
