id,channel,category,start,end,test_samples,detected
id_180,channel_12,Rare Event,2013-08-12 02:28:29.964000,2013-08-13 21:37:29.961000,1727,False
id_180,channel_13,Rare Event,2013-08-12 02:35:59.964000,2013-08-13 21:13:29.961000,1706,False
id_152,channel_14,Anomaly,2011-01-27 03:52:30.114000,2011-01-27 18:55:30.114000,603,False
id_154,channel_14,Rare Event,2011-02-23 19:43:30.108000,2011-03-04 00:00:00,7851,False
id_156,channel_14,Anomaly,2011-04-13 03:13:30.102000,2011-04-13 04:37:30.102000,57,False
id_155,channel_14,Rare Event,2011-04-22 00:37:30.102000,2011-04-24 10:52:30.102000,2331,False
id_159,channel_14,Rare Event,2011-06-09 03:04:30.093000,2011-06-20 00:00:00,10437,False
id_51,channel_14,Rare Event,2011-08-14 23:21:00.084000,2011-08-15 08:34:30.084000,370,False
id_161,channel_14,Anomaly,2011-08-16 14:52:30.084000,2011-08-16 19:45:00.084000,196,False
id_162,channel_14,Anomaly,2011-09-17 16:07:30.078000,2011-09-17 17:15:00.078000,46,False
id_164,channel_14,Rare Event,2011-11-24 17:19:30.066000,2011-11-24 21:18:00.066000,160,False
id_169,channel_14,Rare Event,2012-06-20 22:46:30.033000,2012-06-26 00:00:00,4849,False
id_171,channel_14,Anomaly,2012-07-14 08:10:30.030000,2012-07-16 02:55:30.030000,1711,False
id_46,channel_14,Anomaly,2012-09-17 03:22:30.018000,2012-09-20 14:40:30.018000,3333,False
id_175,channel_14,Rare Event,2012-12-06 12:46:30.006000,2012-12-08 00:00:00,1409,False
id_178,channel_14,Anomaly,2013-04-25 01:13:29.982000,2013-04-25 07:07:29.982000,237,False
id_14,channel_14,Rare Event,2013-06-30 19:36:39.687000,2013-07-24 13:05:59.964000,22780,True
id_179,channel_14,Anomaly,2013-07-23 21:25:29.964000,2013-07-24 02:59:59.964000,224,True
id_180,channel_14,Rare Event,2013-08-12 02:26:59.964000,2013-08-29 00:00:00,16223,True
id_181,channel_14,Anomaly,2013-08-27 17:26:59.961000,2013-08-30 00:31:29.961000,2204,True
id_182,channel_14,Rare Event,2013-09-12 02:04:29.958000,2013-09-19 00:00:00,6638,True
id_188,channel_14,Anomaly,2013-11-23 06:52:29.946000,2013-11-23 11:19:29.946000,179,True
id_189,channel_14,Anomaly,2013-12-04 16:32:59.943000,2013-12-04 16:32:59.943000,1,True
id_189,channel_14,Anomaly,2013-12-04 16:40:29.943000,2013-12-04 16:40:29.943000,1,True
id_189,channel_14,Anomaly,2013-12-04 17:41:59.943000,2013-12-06 06:44:59.943000,1483,True
id_154,channel_15,Rare Event,2011-02-23 19:43:30.108000,2011-02-24 03:45:00.108000,322,False
id_155,channel_15,Rare Event,2011-04-21 23:57:00.102000,2011-04-29 23:58:30.099000,7682,False
id_159,channel_15,Rare Event,2011-06-09 03:01:30.093000,2011-06-20 00:00:00,10439,False
id_164,channel_15,Rare Event,2011-11-24 17:28:30.066000,2011-11-27 13:19:30.066000,2715,True
id_169,channel_15,Rare Event,2012-06-20 22:46:30.033000,2012-06-26 00:00:00,4849,True
id_175,channel_15,Rare Event,2012-12-06 12:51:00.006000,2012-12-11 00:00:00,4286,False
id_14,channel_15,Rare Event,2013-06-30 19:36:39.687000,2013-07-21 13:05:59.964000,19900,True
id_180,channel_15,Rare Event,2013-08-11 21:17:59.964000,2013-08-29 00:00:00,16429,True
id_182,channel_15,Rare Event,2013-09-12 01:59:59.958000,2013-09-19 00:00:00,6641,True
id_154,channel_16,Rare Event,2011-02-23 20:07:30.108000,2011-02-27 12:00:00,3515,False
id_155,channel_16,Rare Event,2011-04-22 01:03:00.102000,2011-04-29 23:58:30.099000,7638,False
id_164,channel_16,Rare Event,2011-11-24 18:22:30.066000,2011-11-25 01:04:30.066000,269,False
id_14,channel_16,Rare Event,2013-06-30 19:36:39.687000,2013-07-21 13:05:59.964000,19900,False
id_180,channel_16,Rare Event,2013-08-12 03:19:29.964000,2013-08-29 00:00:00,16188,False
id_180,channel_17,Rare Event,2013-08-12 02:44:59.964000,2013-08-13 21:31:29.961000,1712,False
id_180,channel_18,Rare Event,2013-08-12 01:34:29.964000,2013-08-13 21:11:59.961000,1746,False
id_180,channel_19,Rare Event,2013-08-11 23:25:29.964000,2013-08-13 22:17:59.961000,1876,False
id_180,channel_20,Rare Event,2013-08-12 00:32:59.964000,2013-08-13 21:11:59.961000,1787,False
id_152,channel_21,Anomaly,2011-01-27 03:52:30.114000,2011-01-27 19:10:30.114000,613,False
id_154,channel_21,Rare Event,2011-02-23 19:43:30.108000,2011-03-04 00:00:00,7851,False
id_156,channel_21,Anomaly,2011-04-13 03:12:00.102000,2011-04-13 05:28:30.102000,92,False
id_155,channel_21,Rare Event,2011-04-22 00:37:30.102000,2011-04-24 10:54:00.102000,2332,False
id_159,channel_21,Rare Event,2011-06-09 03:06:00.093000,2011-06-20 00:00:00,10436,False
id_51,channel_21,Rare Event,2011-08-14 23:21:00.084000,2011-08-15 06:16:30.084000,278,False
id_161,channel_21,Anomaly,2011-08-16 14:54:00.084000,2011-08-16 20:24:00.084000,221,False
id_162,channel_21,Anomaly,2011-09-17 16:07:30.078000,2011-09-17 17:33:00.078000,58,False
id_164,channel_21,Rare Event,2011-11-24 17:22:30.066000,2011-11-24 21:10:30.066000,153,False
id_169,channel_21,Rare Event,2012-06-20 22:46:30.033000,2012-06-26 00:00:00,4849,False
id_171,channel_21,Anomaly,2012-07-14 08:15:00.030000,2012-07-16 02:40:30.030000,1698,False
id_46,channel_21,Anomaly,2012-09-17 03:22:30.018000,2012-09-20 14:40:30.018000,3333,False
id_175,channel_21,Rare Event,2012-12-06 12:46:30.006000,2012-12-08 00:00:00,1409,False
id_178,channel_21,Anomaly,2013-04-25 01:20:59.982000,2013-04-25 04:01:29.982000,108,False
id_14,channel_21,Rare Event,2013-06-30 19:36:39.687000,2013-07-24 13:05:59.964000,22780,True
id_179,channel_21,Anomaly,2013-07-23 21:25:29.964000,2013-07-24 02:08:59.964000,190,True
id_180,channel_21,Rare Event,2013-08-12 02:25:29.964000,2013-08-29 00:00:00,16224,True
id_181,channel_21,Anomaly,2013-08-27 17:49:29.961000,2013-08-29 22:56:59.961000,2126,True
id_182,channel_21,Rare Event,2013-09-12 02:08:59.958000,2013-09-19 00:00:00,6635,True
id_188,channel_21,Anomaly,2013-11-23 06:53:59.946000,2013-11-23 10:02:59.946000,127,True
id_189,channel_21,Anomaly,2013-12-04 18:22:29.943000,2013-12-06 06:44:59.943000,1456,True
id_154,channel_22,Rare Event,2011-02-23 19:43:30.108000,2011-03-04 00:00:00,7851,False
id_155,channel_22,Rare Event,2011-04-22 00:21:00.102000,2011-05-02 23:58:30.099000,10546,False
id_159,channel_22,Rare Event,2011-06-09 03:09:00.093000,2011-06-20 00:00:00,10434,False
id_164,channel_22,Rare Event,2011-11-24 17:21:00.066000,2011-12-03 21:28:30.066000,8806,False
id_169,channel_22,Rare Event,2012-06-20 22:49:30.033000,2012-07-02 00:00:00,10607,False
id_175,channel_22,Rare Event,2012-12-06 12:48:00.006000,2012-12-11 00:00:00,4288,False
id_14,channel_22,Rare Event,2013-06-30 19:36:39.687000,2013-07-24 13:05:59.964000,22780,True
id_180,channel_22,Rare Event,2013-08-11 21:29:59.964000,2013-08-29 00:00:00,16421,True
id_182,channel_22,Rare Event,2013-09-12 02:49:29.958000,2013-09-19 00:00:00,6608,True
id_154,channel_23,Rare Event,2011-02-23 20:12:00.108000,2011-02-24 14:30:00.108000,733,False
id_155,channel_23,Rare Event,2011-04-22 00:16:30.102000,2011-04-29 23:58:30.099000,7669,False
id_159,channel_23,Rare Event,2011-06-09 03:01:30.093000,2011-06-20 00:00:00,10439,False
id_164,channel_23,Rare Event,2011-11-24 18:07:30.066000,2011-11-27 21:28:30.066000,3015,True
id_169,channel_23,Rare Event,2012-06-20 22:46:30.033000,2012-06-26 00:00:00,4849,True
id_175,channel_23,Rare Event,2012-12-06 12:52:30.006000,2012-12-11 00:00:00,4285,False
id_14,channel_23,Rare Event,2013-06-30 19:36:39.687000,2013-07-22 02:08:59.964000,20422,True
id_180,channel_23,Rare Event,2013-08-11 21:49:29.964000,2013-08-29 00:00:00,16408,True
id_182,channel_23,Rare Event,2013-09-12 02:22:29.958000,2013-09-19 00:00:00,6626,True
id_154,channel_24,Rare Event,2011-02-23 20:30:00.108000,2011-02-27 12:00:00,3500,False
id_155,channel_24,Rare Event,2011-04-22 01:10:30.102000,2011-04-29 23:58:30.099000,7633,False
id_14,channel_24,Rare Event,2013-06-30 19:36:39.687000,2013-07-21 13:05:59.964000,19900,False
id_180,channel_24,Rare Event,2013-08-12 03:11:59.964000,2013-08-29 00:00:00,16193,False
id_180,channel_25,Rare Event,2013-08-12 03:26:59.964000,2013-08-13 21:22:29.961000,1678,False
id_180,channel_26,Rare Event,2013-08-12 02:10:29.964000,2013-08-12 02:10:29.964000,1,False
id_180,channel_26,Rare Event,2013-08-12 02:40:29.964000,2013-08-13 21:22:29.961000,1709,False
id_180,channel_27,Rare Event,2013-08-12 02:29:59.964000,2013-08-13 21:07:29.961000,1706,False
id_180,channel_28,Rare Event,2013-08-12 02:16:29.964000,2013-08-13 21:11:59.961000,1718,False
id_152,channel_29,Anomaly,2011-01-27 03:54:00.114000,2011-01-27 19:00:00.114000,605,False
id_154,channel_29,Rare Event,2011-02-23 19:42:00.108000,2011-03-04 00:00:00,7852,False
id_156,channel_29,Anomaly,2011-04-13 03:28:30.102000,2011-04-13 04:52:30.102000,57,False
id_155,channel_29,Rare Event,2011-04-22 00:30:00.102000,2011-04-24 11:54:00.102000,2377,False
