channel,status,samples,train_normal_samples,calibration_normal_samples,test_samples,test_positive_samples,threshold,score_mean,score_max,margin_mean,precision,recall,f1,f0_5,roc_auc,pr_auc,false_alarms_per_sample,local_model_path,local_model_sha256
channel_1,research_candidate,10513336,250000,250000,250000,0,0.051594136540962454,-0.010118830866626929,0.3724419024521203,-0.061712967407589386,0.0,0.0,0.0,0.0,,,0.24296,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_1.joblib,5446ba6762d5fe1fcdaf6bef4657b32a9bea2098b384211257f630037e1c72c3
channel_2,research_candidate,10513336,250000,250000,250000,0,0.046633816183069166,-0.04005446139095461,0.24943927481295125,-0.0866882775740238,0.0,0.0,0.0,0.0,,,0.0036,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_2.joblib,4b1bc2c7df0ced7c393665488eef8d097913b4eb3bc7c9cf726b8e4985f3aaa0
channel_3,research_candidate,10513336,250000,250000,250000,0,0.30291092274868486,-0.1560259523228822,0.38842571210918614,-0.4589368750715671,0.0,0.0,0.0,0.0,,,0.00506,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_3.joblib,9c52291bcc39c990ec499133e7df40aa30a385e714ca3cfdb99303178d7f1b86
channel_4,research_candidate,3589376,250000,250000,250000,0,0.19204551884784105,0.10117930290020571,0.27676330459101284,-0.09086621594763539,0.0,0.0,0.0,0.0,,,0.0082,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_4.joblib,81aec546d192305ec63ba05b3a83d7a984fdea340e86f920c86f906621319585
channel_5,research_candidate,3589376,250000,250000,250000,0,0.20396434890991832,0.0825889103711184,0.27560037223662326,-0.12137543853879998,0.0,0.0,0.0,0.0,,,0.007732,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_5.joblib,1c1b0cae0af9a255fba76b043a878c5fafc640e5d04a47be3939f23d092f8fa3
channel_6,research_candidate,3589376,250000,250000,250000,0,0.19525116189495406,0.06576850049146016,0.27309226614772697,-0.12948266140349396,0.0,0.0,0.0,0.0,,,0.007996,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_6.joblib,e3fb57348baadb3e47be529e2c433a1ed70d5c26294b1cc98803f1268ac24ea1
channel_7,research_candidate,3589376,250000,250000,250000,0,0.17428927003643646,0.07498571159008142,0.25724242827194477,-0.09930355844635513,0.0,0.0,0.0,0.0,,,0.008052,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_7.joblib,c93d8a4670b7d2df5e821dc0bd598a45364bb00b309203836f25ecbb8b0256a0
channel_8,research_candidate,3589376,250000,250000,250000,0,0.019344020151532137,-0.002576030387912308,0.1352855289705387,-0.021920050539444447,0.0,0.0,0.0,0.0,,,0.000532,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_8.joblib,a5fa5a69b46bc02557618437d6c23299367607752581ad13280b8410be23d318
channel_9,research_candidate,3589376,250000,250000,250000,0,0.04145436911792677,0.04082089484754111,0.13175479682701585,-0.0006334742703856652,0.0,0.0,0.0,0.0,,,0.000532,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_9.joblib,7d0e88c9a22f8c295f658c729ce7edcf45aab19821c4f51dce97d4e10f26f920
channel_10,research_candidate,3589376,250000,250000,250000,0,0.1526904190199354,0.152498297378569,0.1774539635370651,-0.00019212164136636463,0.0,0.0,0.0,0.0,,,0.004956,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_10.joblib,939202d4912e12ff54599fa2f112c4964fea03c380bdd84b3b31edfcfbb72ebe
channel_11,research_candidate,3589376,250000,250000,250000,0,0.03688073489089194,0.03691425786163547,0.08598612981689135,3.352297074353019e-05,0.0,0.0,0.0,0.0,,,0.000856,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_11.joblib,f8b16da3d8cd69cd274537dc10e5ffdf73c05860ccd8872c1608553cbd9eb291
channel_12,research_candidate,14258506,250000,250000,250000,151,0.1800578558047593,-0.06457793662634204,0.26134904134949877,-0.24463579243110134,0.0,0.0,0.0,0.0,0.8455388909205797,0.0017580184854231276,0.005976,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_12.joblib,38210a73ae513e6d033dea786e1e129163d7c8dacfd78a9e1e387d9751ff008f
channel_13,research_candidate,14258506,250000,250000,250000,150,0.16547406065156667,-0.06506930764784906,0.24754509726820362,-0.2305433682994157,0.0007087172218284905,0.006666666666666667,0.0012812299807815504,0.0008629616845012082,0.8234598225602028,0.0015871757047423829,0.00564,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_13.joblib,64a69d2ee8fb2ab5676f7f4099e2e17a4fddb638470a3d66b926e02a85ac1df8
channel_14,research_candidate,5272893,250000,250000,250000,19410,0.156876026886482,-0.09077292808482294,0.27012049155782347,-0.24764895497130493,0.12055109070034443,0.010819165378670788,0.019856278366111948,0.03980589885510653,0.6652948195140128,0.1257283473246158,0.006128,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_14.joblib,c0e2cafdb96a77bec625345f9ea49bcb3b31e8259eeab8618d0bdde7b5b65121
channel_15,research_candidate,5272893,250000,250000,250000,17365,0.16633813313793036,-0.09143940427701008,0.25357841371544854,-0.25777753741494047,0.10121716848174248,0.009098761877339476,0.0166966078410652,0.03346181540937778,0.6298499921445412,0.09915961788232165,0.005612,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_15.joblib,c60db7ac15f159594c6773398c59e86c3c88bcf284c7bc188647f2a3847ad2a1
channel_16,research_candidate,5272893,250000,250000,250000,11262,0.1580052743831415,-0.11086185157107313,0.24202310607164668,-0.26886712595421464,0.028417818740399385,0.003285384478778192,0.00588984399872652,0.011232544019429268,0.3491112273168835,0.032496171478103894,0.00506,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_16.joblib,a58bb2a69293960b2ba2b6f714996ebac7666ba742462bc3a3b457f3c6c2e387
channel_17,research_candidate,14258506,250000,250000,250000,150,0.17045118018476296,-0.08403598204453007,0.2578579004080357,-0.2544871622292931,0.0,0.0,0.0,0.0,0.8688759522380095,0.002080570876202036,0.005956,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_17.joblib,e728756a75c1c30606ad4dd65791f394d013c2a9395796640953a1519583ab10
channel_18,research_candidate,14258506,250000,250000,250000,153,0.15796385453406012,-0.08354738269276198,0.24383387594103012,-0.24151123722682205,0.0006218905472636816,0.006535947712418301,0.0011357183418512207,0.000759301442672741,0.819812143332373,0.0015675912999795246,0.006428,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_18.joblib,c774b6f44bc574b419d8a618bc20ee7968597f4e6063fb048e6730df0840a1c0
channel_19,research_candidate,14258506,250000,250000,250000,165,0.1759492502691743,-0.1067932165736046,0.23410860316015947,-0.2827424668427788,0.0,0.0,0.0,0.0,0.8126601617673725,0.0016916570682197962,0.005448,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_19.joblib,c11f51b9291fd318a387a21d04a935c11aa6efded16893288e1899825e158fde
channel_20,research_candidate,14258506,250000,250000,250000,157,0.16949000473612863,-0.05714321105668759,0.25365394585743617,-0.22663321579281623,0.0030156815440289505,0.03184713375796178,0.005509641873278236,0.0036824274561791125,0.8184702158560672,0.0017740272090983826,0.006612,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_20.joblib,0d2f14dab197e3997a27000925de5a5a4fac502fcc56236fee9f40537982a970
channel_21,research_candidate,5272893,250000,250000,250000,19335,0.156711740438564,-0.09511390441669892,0.24421300391718914,-0.25182564485526293,0.09886714727085479,0.009930178432893715,0.018047657094515203,0.03542043316238054,0.6686863994625988,0.12732614196220016,0.007,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_21.joblib,11819a7d2d957b0a18280401cecbc48d5564c942c1e87a54d209bb6f504f8124
channel_22,research_candidate,5272893,250000,250000,250000,23311,0.16561647373616117,-0.10787073862799916,0.2508107310505847,-0.27348721236416035,0.12944393801276208,0.006091544764274377,0.011635529334644379,0.025632694321094628,0.5970719375387213,0.13051255922795707,0.00382,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_22.joblib,7dea5965c022e31c381c833e7a3aa867692b6d8df2190a23e4a1c8b68ab8ed54
channel_23,research_candidate,5272893,250000,250000,250000,17646,0.1576499210493374,-0.08701231552547874,0.2317538330363199,-0.24466223657481623,0.09232420826623725,0.009747251501756772,0.017632887385309343,0.03426567854012271,0.6090954429552314,0.09236497120116789,0.006764,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_23.joblib,221cc58122b05ecb7f9bfa00eead78388a04d5cc7ddc29935a79bd37a2d4cca0
channel_24,research_candidate,5272893,250000,250000,250000,11195,0.1653298394018392,-0.10844637733366753,0.2602836171018915,-0.27377621673550684,0.03745019920318725,0.004198302813756141,0.007550200803212851,0.014492753623188406,0.35098536941591496,0.03280619972909076,0.004832,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_24.joblib,b60674bd8ce17aa0021e02483b2438d4231438c6d32f9c47aa215c44c40fb0c7
