channel,feature,reference_value,mean_abs_score_delta,max_abs_score_delta,rows_evaluated,interpretation
channel_1,value,0.13791033625602722,8.684072932898977e-05,0.07174751647859134,5000,model sensitivity evidence; non-causal
channel_1,delta_1,0.0,1.7478580367398157e-05,0.014174715194970489,5000,model sensitivity evidence; non-causal
channel_1,rolling_mean_24,0.13791033625602722,0.00018984024433661663,0.08783976815980965,5000,model sensitivity evidence; non-causal
channel_1,rolling_std_24,1.4363022018188995e-08,0.08156772882055928,0.20025508989059948,5000,model sensitivity evidence; non-causal
channel_1,rolling_margin_24,0.0,0.00013084257530948423,0.05931539675245057,5000,model sensitivity evidence; non-causal
channel_1,rolling_abs_z_24,0.0,0.00029389943297882095,0.08611088517311194,5000,model sensitivity evidence; non-causal
channel_2,value,0.12633411586284637,2.926245869609263e-05,0.01846070509848219,5000,model sensitivity evidence; non-causal
channel_2,delta_1,0.0,1.7547701433328823e-05,0.013693611917842685,5000,model sensitivity evidence; non-causal
channel_2,rolling_mean_24,0.12633411586284637,6.150450265413754e-05,0.030440311604505665,5000,model sensitivity evidence; non-causal
channel_2,rolling_std_24,1.4562316763000942e-08,0.18334356682518607,0.28855758430559025,5000,model sensitivity evidence; non-causal
channel_2,rolling_margin_24,0.0,6.32374606028411e-05,0.04618788521337491,5000,model sensitivity evidence; non-causal
channel_2,rolling_abs_z_24,0.0,0.0001566883561029732,0.049730976916551706,5000,model sensitivity evidence; non-causal
channel_3,value,0.12633411586284637,0.00045606895798958345,0.06855694420324798,5000,model sensitivity evidence; non-causal
channel_3,delta_1,0.0,0.00036629889335586984,0.06848855790893715,5000,model sensitivity evidence; non-causal
channel_3,rolling_mean_24,0.12633411586284637,0.0009961223878220552,0.087146538013117,5000,model sensitivity evidence; non-causal
channel_3,rolling_std_24,2.314792357095889e-09,0.01235841502637079,0.08448846210666827,5000,model sensitivity evidence; non-causal
channel_3,rolling_margin_24,0.0,0.0013552202510139356,0.0581360865921442,5000,model sensitivity evidence; non-causal
channel_3,rolling_abs_z_24,0.0,0.0018890395345610986,0.2794318228405937,5000,model sensitivity evidence; non-causal
channel_4,value,0.041668545454740524,0.05148242747638526,0.051857906818914,5000,model sensitivity evidence; non-causal
channel_4,delta_1,0.0,2.915402815066217e-05,0.00722128632841601,5000,model sensitivity evidence; non-causal
channel_4,rolling_mean_24,0.041668545454740524,0.04038318413311459,0.04063562968153012,5000,model sensitivity evidence; non-causal
channel_4,rolling_std_24,2.8249519223627543e-10,0.00708802685217406,0.04712387125695794,5000,model sensitivity evidence; non-causal
channel_4,rolling_margin_24,0.0,0.0003480082525848662,0.05224245826636209,5000,model sensitivity evidence; non-causal
channel_4,rolling_abs_z_24,0.0,0.0002869576135069582,0.04748948773808115,5000,model sensitivity evidence; non-causal
channel_5,value,0.04002261161804199,0.029085339171522617,0.03185950913590763,5000,model sensitivity evidence; non-causal
channel_5,delta_1,0.0,2.790979970265526e-05,0.006784351974167047,5000,model sensitivity evidence; non-causal
channel_5,rolling_mean_24,0.04002261161804199,0.027872450517087817,0.027975294995055022,5000,model sensitivity evidence; non-causal
channel_5,rolling_std_24,1.0391058152235818e-09,0.01164381999123944,0.06713719618213476,5000,model sensitivity evidence; non-causal
channel_5,rolling_margin_24,0.0,0.0003458854930395437,0.05367344393396434,5000,model sensitivity evidence; non-causal
channel_5,rolling_abs_z_24,0.0,0.00030094959737269456,0.061757054166836634,5000,model sensitivity evidence; non-causal
channel_6,value,0.06273363530635834,0.07907790169825595,0.07964095315602948,5000,model sensitivity evidence; non-causal
channel_6,delta_1,0.0,3.740459284877784e-05,0.008052373939151147,5000,model sensitivity evidence; non-causal
channel_6,rolling_mean_24,0.06273363530635834,0.05953870712223815,0.05990250794986174,5000,model sensitivity evidence; non-causal
channel_6,rolling_std_24,1.5156377428596281e-09,0.009087359887292099,0.06127585365053634,5000,model sensitivity evidence; non-causal
channel_6,rolling_margin_24,0.0,0.00048092508649291146,0.06675866654475227,5000,model sensitivity evidence; non-causal
channel_6,rolling_abs_z_24,0.0,0.0004085981089242942,0.06459078959837794,5000,model sensitivity evidence; non-causal
channel_7,value,0.04684057831764221,0.04386436780048425,0.044059947858994364,5000,model sensitivity evidence; non-causal
channel_7,delta_1,0.0,5.4544669895133355e-05,0.012426692779556325,5000,model sensitivity evidence; non-causal
channel_7,rolling_mean_24,0.04684057831764221,0.015115614108794069,0.01595119866842254,5000,model sensitivity evidence; non-causal
channel_7,rolling_std_24,7.177698967631886e-10,0.012362923638400672,0.06769924302906616,5000,model sensitivity evidence; non-causal
channel_7,rolling_margin_24,0.0,0.00042296407851359305,0.06999336372557963,5000,model sensitivity evidence; non-causal
channel_7,rolling_abs_z_24,0.0,0.00018789270643623817,0.038516005397913555,5000,model sensitivity evidence; non-causal
channel_8,value,0.07025512307882309,0.07952593906517427,0.08570580290375018,5000,model sensitivity evidence; non-causal
channel_8,delta_1,0.0,2.2811701149283215e-06,0.0038062385001542687,5000,model sensitivity evidence; non-causal
channel_8,rolling_mean_24,0.07025512307882309,0.07395446873604195,0.07804791347472295,5000,model sensitivity evidence; non-causal
channel_8,rolling_std_24,8.15864753432363e-10,0.021992879101509863,0.02745509888997666,5000,model sensitivity evidence; non-causal
channel_8,rolling_margin_24,0.0,2.4744437198131707e-05,0.04335173893181765,5000,model sensitivity evidence; non-causal
channel_8,rolling_abs_z_24,0.0,1.818402127489045e-05,0.030849346728723526,5000,model sensitivity evidence; non-causal
channel_9,value,0.06961385905742645,0.11575283009941353,0.11748357254855957,5000,model sensitivity evidence; non-causal
channel_9,delta_1,0.0,3.903921135320987e-06,0.006512406192300535,5000,model sensitivity evidence; non-causal
channel_9,rolling_mean_24,0.06961385905742645,0.09718546139447148,0.09904441106938011,5000,model sensitivity evidence; non-causal
channel_9,rolling_std_24,5.816530333329204e-10,0.0006850609195508051,0.011337867662139733,5000,model sensitivity evidence; non-causal
channel_9,rolling_margin_24,0.0,3.074094412939547e-05,0.05323489324924735,5000,model sensitivity evidence; non-causal
channel_9,rolling_abs_z_24,0.0,1.2171806894521354e-05,0.020637481049376127,5000,model sensitivity evidence; non-causal
channel_10,value,0.03135963901877403,0.07450895654820085,0.07464758103061409,5000,model sensitivity evidence; non-causal
channel_10,delta_1,0.0,1.9760949086859525e-05,0.004705656698079541,5000,model sensitivity evidence; non-causal
channel_10,rolling_mean_24,0.03135963901877403,0.07151775202883205,0.0715886622370514,5000,model sensitivity evidence; non-causal
channel_10,rolling_std_24,1.0227446993067029e-10,0.15268891843713728,0.15796247427710286,5000,model sensitivity evidence; non-causal
channel_10,rolling_margin_24,0.0,3.5036881693833986e-05,0.007740951141907315,5000,model sensitivity evidence; non-causal
channel_10,rolling_abs_z_24,0.0,2.762687224988647e-05,0.005915719381722084,5000,model sensitivity evidence; non-causal
channel_11,value,0.026308322325348854,0.11390304974250744,0.113908112894055,5000,model sensitivity evidence; non-causal
channel_11,delta_1,0.0,1.0763251900894444e-06,0.005381625950447222,5000,model sensitivity evidence; non-causal
channel_11,rolling_mean_24,0.026308322325348854,0.09603273271175312,0.09604291248747265,5000,model sensitivity evidence; non-causal
channel_11,rolling_std_24,3.9566626547764546e-10,0.0960433341304817,0.10060499039680681,5000,model sensitivity evidence; non-causal
channel_11,rolling_margin_24,0.0,6.301642658819606e-06,0.010613150214393907,5000,model sensitivity evidence; non-causal
channel_11,rolling_abs_z_24,0.0,1.0774451228346282e-05,0.014886805483015908,5000,model sensitivity evidence; non-causal
channel_12,value,0.2625860571861267,0.024571999639336473,0.0826794844246379,5000,model sensitivity evidence; non-causal
channel_12,delta_1,0.0,0.006700541771085943,0.11827509855767399,5000,model sensitivity evidence; non-causal
channel_12,rolling_mean_24,0.2623910717666149,0.01651878778122796,0.07326891888278009,5000,model sensitivity evidence; non-causal
channel_12,rolling_std_24,0.0010602088066467969,0.014826753302951983,0.14057278604921308,5000,model sensitivity evidence; non-causal
channel_12,rolling_margin_24,0.0002599799384673529,0.006860092889302751,0.1051481904621453,5000,model sensitivity evidence; non-causal
channel_12,rolling_abs_z_24,0.36689831232704534,0.006326505178331959,0.16128996517147448,5000,model sensitivity evidence; non-causal
channel_13,value,0.3171748220920563,0.02504693644639228,0.07307531298731534,5000,model sensitivity evidence; non-causal
channel_13,delta_1,0.0,0.007276666272449361,0.12612606350795297,5000,model sensitivity evidence; non-causal
channel_13,rolling_mean_24,0.31665486097335815,0.03257166995703198,0.08507891920577171,5000,model sensitivity evidence; non-causal
channel_13,rolling_std_24,0.0011876709188157748,0.010792588524165213,0.12286249974472108,5000,model sensitivity evidence; non-causal
channel_13,rolling_margin_24,0.00032490243514377015,0.006179548337130878,0.10871005238565445,5000,model sensitivity evidence; non-causal
channel_13,rolling_abs_z_24,0.3644602973948502,0.006504965483414869,0.17566958618960737,5000,model sensitivity evidence; non-causal
channel_14,value,0.2353457361459732,0.01996231336515394,0.07417277623181118,5000,model sensitivity evidence; non-causal
channel_14,delta_1,0.0,0.007582556913637535,0.13566884612068147,5000,model sensitivity evidence; non-causal
channel_14,rolling_mean_24,0.23465581300357977,0.020114361390710673,0.06762607367509083,5000,model sensitivity evidence; non-causal
channel_14,rolling_std_24,0.0012319257342363514,0.012644535931702726,0.13175631063003906,5000,model sensitivity evidence; non-causal
channel_14,rolling_margin_24,-0.0003142630060513907,0.01055687270253205,0.1260023297363101,5000,model sensitivity evidence; non-causal
channel_14,rolling_abs_z_24,0.34774348086074625,0.008902027429621038,0.19080923711791287,5000,model sensitivity evidence; non-causal
channel_15,value,0.0876035988330841,0.023447064291626237,0.07426794582349538,5000,model sensitivity evidence; non-causal
channel_15,delta_1,0.0,0.007028171942358395,0.14712939256121915,5000,model sensitivity evidence; non-causal
channel_15,rolling_mean_24,0.08744034791986148,0.01758414150899891,0.05354026603561324,5000,model sensitivity evidence; non-causal
channel_15,rolling_std_24,0.0010719861700505882,0.010277898659316673,0.15051071216840395,5000,model sensitivity evidence; non-causal
channel_15,rolling_margin_24,-0.000268351286649704,0.007052038823164901,0.10063603892525619,5000,model sensitivity evidence; non-causal
channel_15,rolling_abs_z_24,0.35527405207979595,0.00864048985581707,0.20339058466270127,5000,model sensitivity evidence; non-causal
channel_16,value,0.7226383090019226,0.015633990022651617,0.04820271033988943,5000,model sensitivity evidence; non-causal
channel_16,delta_1,0.0,0.006933156784785993,0.14424904823585832,5000,model sensitivity evidence; non-causal
channel_16,rolling_mean_24,0.7226383437712988,0.009298050319206637,0.03652457450238367,5000,model sensitivity evidence; non-causal
channel_16,rolling_std_24,0.001432272332880856,0.014033624580734925,0.1356207395379408,5000,model sensitivity evidence; non-causal
channel_16,rolling_margin_24,-0.000383034348487854,0.008391341091038196,0.11456813766570584,5000,model sensitivity evidence; non-causal
channel_16,rolling_abs_z_24,0.3382849457334562,0.008132259310664875,0.1855074454782945,5000,model sensitivity evidence; non-causal
channel_17,value,0.30273547768592834,0.0202824775604576,0.08390305521944663,5000,model sensitivity evidence; non-causal
channel_17,delta_1,0.0,0.006452877410863809,0.1452123774199029,5000,model sensitivity evidence; non-causal
channel_17,rolling_mean_24,0.3022960436840852,0.015635734660144864,0.07522141920099351,5000,model sensitivity evidence; non-causal
channel_17,rolling_std_24,0.0012510585026145153,0.012631801236422482,0.13202088531318384,5000,model sensitivity evidence; non-causal
channel_17,rolling_margin_24,0.0003141351044178009,0.008399987663586503,0.11458463660957807,5000,model sensitivity evidence; non-causal
channel_17,rolling_abs_z_24,0.4017129344246337,0.007440285966003506,0.20801302836580243,5000,model sensitivity evidence; non-causal
channel_18,value,0.3238435983657837,0.01722848354606145,0.09896393784984331,5000,model sensitivity evidence; non-causal
channel_18,delta_1,0.0,0.008285153367941663,0.13107197255664854,5000,model sensitivity evidence; non-causal
channel_18,rolling_mean_24,0.3244719405968984,0.011974970985128194,0.07805363060319476,5000,model sensitivity evidence; non-causal
channel_18,rolling_std_24,0.0014954982290005605,0.011990789601606584,0.1301515013669719,5000,model sensitivity evidence; non-causal
channel_18,rolling_margin_24,0.000314061840375246,0.0056845980932418595,0.09143853272761238,5000,model sensitivity evidence; non-causal
channel_18,rolling_abs_z_24,0.4595362915361383,0.007913174278562262,0.20174059056073573,5000,model sensitivity evidence; non-causal
channel_19,value,0.27506333589553833,0.016274440447435205,0.0638103688026524,5000,model sensitivity evidence; non-causal
channel_19,delta_1,0.0,0.008542787683437063,0.13417015017113343,5000,model sensitivity evidence; non-causal
channel_19,rolling_mean_24,0.2748033565779527,0.007236929405306394,0.04296685636254549,5000,model sensitivity evidence; non-causal
channel_19,rolling_std_24,0.0014530726482293844,0.014283648293866804,0.14399803339042472,5000,model sensitivity evidence; non-causal
channel_19,rolling_margin_24,0.00032490181426209075,0.005737012449067495,0.13448567617970986,5000,model sensitivity evidence; non-causal
channel_19,rolling_abs_z_24,0.47026997071844373,0.00741795996323728,0.19702385559536156,5000,model sensitivity evidence; non-causal
channel_20,value,0.3171748220920563,0.03582693619100436,0.0936691130314879,5000,model sensitivity evidence; non-causal
channel_20,delta_1,0.0,0.006551738975685683,0.10209005700351903,5000,model sensitivity evidence; non-causal
channel_20,rolling_mean_24,0.3167198561131954,0.0287574421672051,0.08145868127284772,5000,model sensitivity evidence; non-causal
channel_20,rolling_std_24,0.0013650448673170575,0.009216710409414328,0.09968075657463582,5000,model sensitivity evidence; non-causal
channel_20,rolling_margin_24,0.0003896045188109265,0.006871655131822426,0.098322390476407,5000,model sensitivity evidence; non-causal
