channel,status,samples,train_windows,calibration_windows,test_windows,test_positive_windows,threshold,precision,recall,f1,f0_5,roc_auc,pr_auc,final_loss,local_model_path,local_model_sha256
channel_1,research_candidate,10513336,10000,10000,10000,0,0.07143678516149521,0.0,0.0,0.0,0.0,,,0.4330182671546936,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_1.keras,5ea2c4a4119d47cef5abb835f8e77bd36eb3b3b5766e7cae268d77d3f398c890
channel_2,research_candidate,10513336,10000,10000,10000,0,0.04345553740859032,0.0,0.0,0.0,0.0,,,0.35617852210998535,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_2.keras,bfb5ccb47566fa88fb5e6fcde6a3ee8f9c7f67f7de5d51b3651ff91f6dd397c0
channel_3,research_candidate,10513336,10000,10000,10000,0,0.04896847531199455,0.0,0.0,0.0,0.0,,,0.37009942531585693,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_3.keras,7c91ed907b50e314d4ceb00e4b849f8580113c70fc376f740e40a8344f1d55c2
channel_4,research_candidate,3589376,10000,10000,10000,0,15.887269973754883,0.0,0.0,0.0,0.0,,,0.5036965608596802,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_4.keras,d58291d9d7dc7e7120f91b5f736acc46ad02b04ac611a2a8aae5bcf0011b19ed
channel_5,research_candidate,3589376,10000,10000,10000,0,16.67571258544922,0.0,0.0,0.0,0.0,,,0.5953719019889832,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_5.keras,264fca76b777a1b0c792dc88649b850729e5d8329607af98e6c5bb2adb3dcee0
channel_6,research_candidate,3589376,10000,10000,10000,0,12.946184158325195,0.0,0.0,0.0,0.0,,,0.4108784794807434,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_6.keras,21af367530263e68b0a016613728406a00d5b776b66c4faf5fd619e2022444fc
channel_7,research_candidate,3589376,10000,10000,10000,0,14.331158638000488,0.0,0.0,0.0,0.0,,,0.5414760708808899,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_7.keras,dd531d341ac87560461b718c292756e40be5bf2751189dc465aec9b95aa0401e
channel_8,research_candidate,3589376,10000,10000,10000,0,5.436220169067383,0.0,0.0,0.0,0.0,,,0.26872754096984863,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_8.keras,2109dcaeb0f478d76a3b9b1eed01333b9bc163d375fb575c003680777536cdc6
channel_9,research_candidate,3589376,10000,10000,10000,0,5.606721878051758,0.0,0.0,0.0,0.0,,,0.3180678188800812,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_9.keras,7d6601e3c811b7fab0b48d0206c44f3bb1e27cb9908d54974e7cb35f5d741b7a
channel_10,research_candidate,3589376,10000,10000,10000,0,4.504389762878418,0.0,0.0,0.0,0.0,,,0.19650839269161224,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_10.keras,1154486444fbbd2538be706fc5395d820e8e98c63610a4839fb2f592867e9b25
channel_11,research_candidate,3589376,10000,10000,10000,0,249.53292846679688,0.0,0.0,0.0,0.0,,,0.5466879606246948,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_11.keras,514bb9788e4f0ed929068550de28e3c7d1e3102cd317e5f7986c55d99615dbf6
channel_12,research_candidate,14258506,9773,10000,10000,6,0.257912278175354,0.0013614703880190605,1.0,0.0027192386131883067,0.0017012589316093907,1.0,1.0,0.10324209928512573,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_12.keras,bcd78c80e309b49e5dd5f9b72c9dd17e398f263214267e16e13acca6d3aeb402
channel_13,research_candidate,14258506,9800,10000,10000,6,0.48723483085632324,0.0014687882496940024,1.0,0.0029332681495966755,0.0018353113911660343,0.9991328130211461,0.6259530167576145,0.14628854393959045,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_13.keras,3a659a76fa3e790f70a6c6d84cb6d5dfec30d22ff3311c37b30261812b7c121d
channel_14,research_candidate,5272893,9665,9605,10000,781,1.4594953060150146,0.22358722358722358,0.5825864276568502,0.32315340909090906,0.25501625378320814,0.7245042700463151,0.33301367999991727,0.12819059193134308,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_14.keras,324f3a4290fcbf880b3219e3985cdbd9f9e4b293747e7621c5b68ab11f46f2aa
channel_15,research_candidate,5272893,9480,9404,10000,696,1.289781093597412,0.23210023866348448,0.5589080459770115,0.3279932546374367,0.2628378378378378,0.6748487086261254,0.24254176189985563,0.15636573731899261,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_15.keras,e1ed911e88234624f27fb386613741fcd9b2b99edef151007365d235d92bdc59
channel_16,research_candidate,5272893,9312,9641,10000,452,0.4550856649875641,0.0,0.0,0.0,0.0,0.32108749087053395,0.030411649474284517,0.100688137114048,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_16.keras,30f1b15ed360415fb00526aa6259d22ed6c57da682c557b1ccad21f7307d33a3
channel_17,research_candidate,14258506,9748,10000,10000,6,0.2250540554523468,0.0014814814814814814,1.0,0.0029585798816568047,0.0018511662347278784,0.9974984990994596,0.4068129437567376,0.09081199020147324,C:/Users/benja/Documents/SATISH v1 2/AIxSpace-Technical-Framework-v1-polished/artifacts/esa_rebuild/local_model_binaries/channel_17.keras,9666ee650659681e1808758e2d54ada5be9c411d9ca8d9d9b7db25aa4f61e40e
