channel,status,epochs,train_windows,calibration_windows,test_windows,final_loss
channel_1,complete,2,10000,10000,10000,0.4330182671546936
channel_2,complete,2,10000,10000,10000,0.35617852210998535
channel_3,complete,2,10000,10000,10000,0.37009942531585693
channel_4,complete,2,10000,10000,10000,0.5036965608596802
channel_5,complete,2,10000,10000,10000,0.5953719019889832
channel_6,complete,2,10000,10000,10000,0.4108784794807434
channel_7,complete,2,10000,10000,10000,0.5414760708808899
channel_8,complete,2,10000,10000,10000,0.26872754096984863
channel_9,complete,2,10000,10000,10000,0.3180678188800812
channel_10,complete,2,10000,10000,10000,0.19650839269161224
channel_11,complete,2,10000,10000,10000,0.5466879606246948
channel_12,complete,2,9773,10000,10000,0.10324209928512573
channel_13,complete,2,9800,10000,10000,0.14628854393959045
channel_14,complete,2,9665,9605,10000,0.12819059193134308
channel_15,complete,2,9480,9404,10000,0.15636573731899261
channel_16,complete,2,9312,9641,10000,0.100688137114048
channel_17,complete,2,9748,10000,10000,0.09081199020147324
channel_18,complete,2,9757,10000,10000,0.11959346383810043
channel_19,complete,2,9779,10000,10000,0.11098942905664444
channel_20,complete,2,9773,10000,10000,0.10537183284759521
channel_21,complete,2,9671,9551,10000,0.132141575217247
channel_22,complete,2,9326,9153,10000,0.28634122014045715
channel_23,complete,2,9470,9408,10000,0.13647130131721497
channel_24,complete,2,9308,9633,10000,0.14024247229099274
channel_25,complete,2,9786,10000,10000,0.13611380755901337
channel_26,complete,2,9755,10000,10000,0.12443778663873672
channel_27,complete,2,9768,10000,10000,0.10210534185171127
channel_28,complete,2,9768,10000,10000,0.1439383178949356
channel_29,complete,2,9756,9553,10000,0.12189416587352753
channel_30,complete,2,9579,9533,10000,0.11271142214536667
channel_31,complete,2,9305,9176,10000,0.12988078594207764
channel_32,complete,2,9308,9631,10000,0.14451417326927185
channel_33,complete,2,9311,9630,10000,0.12207288295030594
channel_34,complete,2,9772,10000,10000,0.10227883607149124
channel_35,complete,2,9776,10000,10000,0.13427583873271942
channel_36,complete,2,9773,10000,10000,0.11637506633996964
channel_37,complete,2,9770,10000,10000,0.080157570540905
channel_38,complete,2,9577,9526,10000,0.12913985550403595
channel_39,complete,2,9290,9191,10000,0.16153044998645782
channel_40,complete,2,9314,9621,10000,0.10923610627651215
channel_41,complete,2,9886,9926,10000,0.4206131398677826
channel_42,complete,2,9885,9926,10000,0.5127990245819092
channel_43,complete,2,9884,9926,10000,0.4465014934539795
channel_44,complete,2,9885,9926,10000,0.49226614832878113
channel_45,complete,2,9885,9926,10000,0.4791386127471924
channel_46,complete,2,9884,9926,10000,0.5037574172019958
channel_47,complete,2,9720,9804,10000,0.10305760055780411
channel_48,complete,2,9712,9804,10000,0.1439613401889801
channel_49,complete,2,9714,9806,10000,0.15436987578868866
channel_50,complete,2,9528,9780,10000,0.14180609583854675
channel_51,complete,2,9529,9778,10000,0.15668006241321564
channel_52,complete,2,9526,9801,10000,0.1322295367717743
channel_53,complete,2,10000,10000,10000,0.9702185392379761
channel_54,complete,2,10000,10000,10000,0.9461349844932556
channel_55,complete,2,10000,10000,10000,0.9436038136482239
channel_56,complete,2,10000,10000,10000,0.9690476655960083
channel_57,complete,2,9842,9842,10000,0.12963220477104187
channel_58,complete,2,9838,9840,10000,0.11819533258676529
channel_59,complete,2,9848,9841,10000,0.11051535606384277
channel_60,complete,2,9848,9841,10000,0.09895112365484238
channel_61,complete,2,9999,9963,10000,0.07981209456920624
channel_62,complete,2,9999,9963,10000,0.08115966618061066
channel_63,complete,2,9999,9963,10000,0.06484265625476837
channel_64,complete,2,10000,9998,10000,0.9873751997947693
channel_65,complete,2,10000,9998,10000,0.9570850729942322
channel_66,complete,2,9978,9951,10000,0.3677825629711151
channel_67,complete,2,10000,10000,10000,0.007084388751536608
channel_68,complete,2,10000,10000,10000,0.0018391311168670654
channel_69,complete,2,10000,10000,10000,0.0036355494521558285
channel_70,complete,2,9952,9967,10000,0.9804631471633911
channel_71,complete,2,9955,9967,10000,0.9785110950469971
channel_72,complete,2,9948,9970,10000,0.9833253026008606
channel_73,complete,2,9949,9967,10000,0.9641821980476379
channel_74,complete,2,9952,9952,10000,0.9468116164207458
channel_75,complete,2,9950,9967,10000,0.9284213781356812
channel_76,complete,2,9944,9967,10000,0.9215525984764099
