channel,status,samples,train_normal_samples,validation_normal_samples
channel_1,complete,10513336,6308001,2102667
channel_2,complete,10513336,6308001,2102667
channel_3,complete,10513336,6308001,2102667
channel_4,complete,3589376,2153625,717875
channel_5,complete,3589376,2153625,717875
channel_6,complete,3589376,2153625,717875
channel_7,complete,3589376,2153625,717875
channel_8,complete,3589376,2153625,717875
channel_9,complete,3589376,2153625,717875
channel_10,complete,3589376,2153625,717875
channel_11,complete,3589376,2153625,717875
channel_12,complete,14258506,8363923,2851701
channel_13,complete,14258506,8387568,2851701
channel_14,complete,5272893,3059903,1013428
channel_15,complete,5272893,3000896,992078
channel_16,complete,5272893,2947139,1016861
channel_17,complete,14258506,8344539,2851701
channel_18,complete,14258506,8353438,2851701
channel_19,complete,14258506,8370631,2851701
channel_20,complete,14258506,8364218,2851701
channel_21,complete,5272893,3061417,1007774
channel_22,complete,5272893,2952214,965639
channel_23,complete,5272893,2998229,992523
channel_24,complete,5272893,2946780,1016083
channel_25,complete,14258506,8376170,2851701
channel_26,complete,14258506,8348592,2851701
channel_27,complete,14258506,8362005,2851701
channel_28,complete,14258506,8360907,2851701
channel_29,complete,5272893,3088276,1007991
channel_30,complete,5272893,3032229,1005649
channel_31,complete,5272893,2945899,968082
channel_32,complete,5272893,2946861,1015866
channel_33,complete,5272893,2947739,1015850
channel_34,complete,14258506,8363230,2851701
channel_35,complete,14258506,8366221,2851701
channel_36,complete,14258506,8365326,2851701
channel_37,complete,14258506,8363582,2851701
channel_38,complete,5272893,3031769,1004971
channel_39,complete,5272893,2940663,969573
channel_40,complete,5272893,2948267,1014837
channel_41,complete,15381169,9126386,3054474
channel_42,complete,15381169,9126448,3054518
channel_43,complete,15381169,9125766,3054515
channel_44,complete,15381169,9125751,3054512
channel_45,complete,15381169,9126452,3054509
channel_46,complete,15381169,9126422,3054491
channel_47,complete,14644745,8540463,2872286
channel_48,complete,14644745,8534115,2872256
channel_49,complete,14644745,8535979,2873582
channel_50,complete,4974682,2846589,973587
channel_51,complete,4974682,2846814,973521
channel_52,complete,4974682,2846703,975668
channel_53,complete,14639410,8783646,2927882
channel_54,complete,14639410,8783646,2927882
channel_55,complete,14639410,8783646,2927882
channel_56,complete,14639410,8783646,2927882
channel_57,complete,14639410,8646485,2881521
channel_58,complete,14639410,8644652,2881197
channel_59,complete,14639410,8653683,2881396
channel_60,complete,14639410,8652950,2881507
channel_61,complete,487448,292467,97197
channel_62,complete,487448,292467,97197
channel_63,complete,487448,292467,97197
channel_64,complete,4810995,2886583,962085
channel_65,complete,4810995,2886582,962085
channel_66,complete,4810995,2880525,957601
channel_67,complete,4810995,2886597,962199
channel_68,complete,4810995,2886597,962199
channel_69,complete,4810995,2886597,962199
channel_70,complete,14670328,8762291,2925564
channel_71,complete,14666814,8760267,2924406
channel_72,complete,14668450,8754497,2924691
channel_73,complete,14669336,8756377,2924950
channel_74,complete,19286353,11516814,3839490
channel_75,complete,14667583,8755805,2924574
channel_76,complete,14671647,8755285,2925378
