channel,status,samples,train_samples,validation_samples,test_samples,test_positive_samples,threshold,precision,recall,f1,f0_5,roc_auc,pr_auc,false_alarms_per_sample
channel_1,skipped_no_positive_or_negative_training_class,10513336.0,,,,,,,,,,,,
channel_2,skipped_no_positive_or_negative_training_class,10513336.0,,,,,,,,,,,,
channel_3,skipped_no_positive_or_negative_training_class,10513336.0,,,,,,,,,,,,
channel_4,skipped_no_positive_or_negative_training_class,3589376.0,,,,,,,,,,,,
channel_5,skipped_no_positive_or_negative_training_class,3589376.0,,,,,,,,,,,,
channel_6,skipped_no_positive_or_negative_training_class,3589376.0,,,,,,,,,,,,
channel_7,skipped_no_positive_or_negative_training_class,3589376.0,,,,,,,,,,,,
channel_8,skipped_no_positive_or_negative_training_class,3589376.0,,,,,,,,,,,,
channel_9,skipped_no_positive_or_negative_training_class,3589376.0,,,,,,,,,,,,
channel_10,skipped_no_positive_or_negative_training_class,3589376.0,,,,,,,,,,,,
channel_11,skipped_no_positive_or_negative_training_class,3589376.0,,,,,,,,,,,,
channel_12,research_candidate,,250000.0,250000.0,250000.0,151.0,0.18483684957027435,0.0007139547418888121,1.0,0.0014268907483616742,0.0008922841647333844,0.9846470579488289,0.044299268945692014,0.845388
channel_13,research_candidate,,250000.0,250000.0,250000.0,150.0,0.1636577546596527,0.0006,1.0,0.0011992804317409553,0.000749887516872469,0.9739233806950838,0.06176241716225366,0.9994
channel_14,research_candidate,,250000.0,250000.0,250000.0,19410.0,0.6242910623550415,0.011620051344412918,0.013292117465224112,0.012399971162857761,0.011919942340744026,0.48486293241589196,0.07098329498322233,0.08778
channel_15,research_candidate,,250000.0,250000.0,250000.0,17365.0,0.23604030907154083,0.07609819774683882,0.9534120357040023,0.1409465108161719,0.09326178531312773,0.6836210124434093,0.13598927059395582,0.80402
channel_16,research_candidate,,250000.0,250000.0,250000.0,11262.0,0.6807289123535156,0.0032697547683923707,0.0005327650506126798,0.0009162403603878751,0.001612729813998495,0.4436423341244301,0.03911999757294236,0.007316
channel_17,research_candidate,,250000.0,250000.0,250000.0,150.0,0.07629065960645676,0.0006,1.0,0.0011992804317409553,0.000749887516872469,0.9052243346007603,0.09286553910005356,0.9994
channel_18,research_candidate,,250000.0,250000.0,250000.0,153.0,0.10289316624403,0.000612,1.0,0.0012232513701614612,0.0007648829729051455,0.5036468331690891,0.0006001846702888777,0.999388
channel_19,research_candidate,,250000.0,250000.0,250000.0,165.0,0.09979350864887238,0.0006618558437859759,1.0,0.001322836160728602,0.0008271829357674904,0.2961049322856115,0.0004439472468556198,0.996536
channel_20,research_candidate,,250000.0,250000.0,250000.0,157.0,0.12231703847646713,0.0006284424234661201,1.0,0.0012560954632552072,0.0007854296300076143,0.8021315220353287,0.0018693378196921987,0.998668
channel_21,research_candidate,,250000.0,250000.0,250000.0,19335.0,0.6909488439559937,0.013134912317473626,0.009723299715541764,0.011174512601046125,0.012273623460900678,0.4022157681276268,0.060874888867475614,0.0565
channel_22,research_candidate,,250000.0,250000.0,250000.0,23311.0,0.4824995994567871,0.19232202758106598,0.1992192527133113,0.1957098908508576,0.19366299969140693,0.5894289068354776,0.14504858927997422,0.078012
channel_23,research_candidate,,250000.0,250000.0,250000.0,17646.0,0.10813415050506592,0.07594292433789072,0.9808455173977105,0.14097102877574788,0.09312606130781101,0.6818501134880807,0.13113455610205593,0.8424
channel_24,research_candidate,,250000.0,250000.0,250000.0,11195.0,0.7555301189422607,0.0,0.0,0.0,0.0,0.40017517735859864,0.034202340645149626,0.011036
channel_25,research_candidate,,250000.0,250000.0,250000.0,148.0,0.10190586745738983,0.000592,1.0,0.0011832994867038713,0.0007398904962065614,0.23999341393888965,0.0003637416008457499,0.999408
channel_26,research_candidate,,250000.0,250000.0,250000.0,150.0,0.06890326738357544,0.0006,1.0,0.0011992804317409553,0.000749887516872469,0.8127930891868455,0.010587382390700582,0.9994
channel_27,research_candidate,,250000.0,250000.0,250000.0,150.0,0.08211715519428253,0.0006,1.0,0.0011992804317409553,0.000749887516872469,0.6272468948035488,0.0008845372483209738,0.9994
channel_28,research_candidate,,250000.0,250000.0,250000.0,151.0,0.11501967161893845,0.000604,1.0,0.0012072708084317073,0.000754886012212156,0.2614303542651019,0.0003996617819814503,0.999396
channel_29,research_candidate,,250000.0,250000.0,250000.0,18715.0,0.7953680157661438,0.022604951560818085,0.00336628372962864,0.005859920007441169,0.010548169976224759,0.36062471347239783,0.054358663871317464,0.010896
channel_30,research_candidate,,250000.0,250000.0,250000.0,18508.0,0.7156413197517395,0.016989510264495786,0.014264102009941647,0.015507974270860871,0.016364177328176136,0.38404445585804997,0.05651550047009551,0.0611
channel_31,research_candidate,,250000.0,250000.0,250000.0,22628.0,0.5114930272102356,0.17601987989231724,0.187820399505038,0.1817287751480555,0.17825984833232666,0.5756231928556502,0.13803648584252426,0.07958
channel_32,research_candidate,,250000.0,250000.0,250000.0,11200.0,0.7093561887741089,0.0,0.0,0.0,0.0,0.5304241131251495,0.045616746746721795,0.00542
channel_33,research_candidate,,250000.0,250000.0,250000.0,11193.0,0.6718379855155945,0.5,8.93415527561869e-05,0.0001786511835640911,0.00044638871529327734,0.6787540629980697,0.06712497149645621,4e-06
channel_34,research_candidate,,250000.0,250000.0,250000.0,150.0,0.12039272487163544,0.0006,1.0,0.0011992804317409553,0.000749887516872469,0.8036345407244346,0.40082461261571306,0.9994
channel_35,research_candidate,,250000.0,250000.0,250000.0,162.0,0.1263452172279358,0.000648,1.0,0.0012951607358431738,0.0008098688012541969,0.9394304916993619,0.8414219458119547,0.999352
channel_36,research_candidate,,250000.0,250000.0,250000.0,158.0,0.174202099442482,0.000632,1.0,0.0012632016565530585,0.0007898751997184444,0.8294591168960557,0.03360262036532117,0.999368
channel_37,research_candidate,,250000.0,250000.0,250000.0,166.0,0.16397646069526672,0.000664,1.0,0.0013271187931213674,0.0008298622428676839,0.9899440095693421,0.26612503027010037,0.999336
channel_38,research_candidate,,250000.0,250000.0,250000.0,18504.0,0.6799155473709106,0.021462900783461716,0.017617812364894077,0.019351200546107502,0.020565228362351754,0.3603626270054505,0.05427255737196639,0.059452
channel_39,research_candidate,,250000.0,250000.0,250000.0,22630.0,0.48876145482063293,0.1109675434548531,0.15939019001325674,0.13084247755509204,0.11814608581722899,0.4951812937893779,0.10735159639661465,0.115592
channel_40,research_candidate,,250000.0,250000.0,250000.0,11198.0,0.6390524506568909,0.0,0.0,0.0,0.0,0.6816406861565646,0.06693452564807402,2.4e-05
channel_41,research_candidate,,250000.0,250000.0,250000.0,5180.0,0.9554474353790283,0.010996119016817595,0.019691119691119693,0.014111787493082457,0.012061299782423615,0.39347696865934756,0.031873244137090556,0.036696
channel_42,research_candidate,,250000.0,250000.0,250000.0,5188.0,0.8619824647903442,0.034568098355420726,0.08346183500385505,0.04888788528847239,0.03915575490125154,0.5304779963423163,0.06169801701998033,0.048372
