channel,feature,importance,interpretation
channel_12,value,0.33208921551704407,model feature importance; non-causal
channel_12,delta_1,0.010112781077623367,model feature importance; non-causal
channel_12,rolling_mean_24,0.5096564292907715,model feature importance; non-causal
channel_12,rolling_std_24,0.047796547412872314,model feature importance; non-causal
channel_12,rolling_margin_24,0.05142640694975853,model feature importance; non-causal
channel_12,rolling_abs_z_24,0.048918694257736206,model feature importance; non-causal
channel_13,value,0.33358997106552124,model feature importance; non-causal
channel_13,delta_1,0.027039768174290657,model feature importance; non-causal
channel_13,rolling_mean_24,0.4946913421154022,model feature importance; non-causal
channel_13,rolling_std_24,0.04626050218939781,model feature importance; non-causal
channel_13,rolling_margin_24,0.040531985461711884,model feature importance; non-causal
channel_13,rolling_abs_z_24,0.057886362075805664,model feature importance; non-causal
channel_14,value,0.24779455363750458,model feature importance; non-causal
channel_14,delta_1,0.11735660582780838,model feature importance; non-causal
channel_14,rolling_mean_24,0.43765589594841003,model feature importance; non-causal
channel_14,rolling_std_24,0.06888725608587265,model feature importance; non-causal
channel_14,rolling_margin_24,0.07579002529382706,model feature importance; non-causal
channel_14,rolling_abs_z_24,0.052515652030706406,model feature importance; non-causal
channel_15,value,0.22460685670375824,model feature importance; non-causal
channel_15,delta_1,0.05050540715456009,model feature importance; non-causal
channel_15,rolling_mean_24,0.4792507290840149,model feature importance; non-causal
channel_15,rolling_std_24,0.07998894900083542,model feature importance; non-causal
channel_15,rolling_margin_24,0.09941485524177551,model feature importance; non-causal
channel_15,rolling_abs_z_24,0.06623321026563644,model feature importance; non-causal
channel_16,value,0.366992712020874,model feature importance; non-causal
channel_16,delta_1,0.03422188013792038,model feature importance; non-causal
channel_16,rolling_mean_24,0.4378644824028015,model feature importance; non-causal
channel_16,rolling_std_24,0.06297792494297028,model feature importance; non-causal
channel_16,rolling_margin_24,0.05153138190507889,model feature importance; non-causal
channel_16,rolling_abs_z_24,0.04641158506274223,model feature importance; non-causal
channel_17,value,0.4164974093437195,model feature importance; non-causal
channel_17,delta_1,0.027982203289866447,model feature importance; non-causal
channel_17,rolling_mean_24,0.41688743233680725,model feature importance; non-causal
channel_17,rolling_std_24,0.05053853988647461,model feature importance; non-causal
channel_17,rolling_margin_24,0.0514494925737381,model feature importance; non-causal
channel_17,rolling_abs_z_24,0.036644916981458664,model feature importance; non-causal
channel_18,value,0.32507288455963135,model feature importance; non-causal
channel_18,delta_1,0.09767081588506699,model feature importance; non-causal
channel_18,rolling_mean_24,0.3292863070964813,model feature importance; non-causal
channel_18,rolling_std_24,0.04461987689137459,model feature importance; non-causal
channel_18,rolling_margin_24,0.09562176465988159,model feature importance; non-causal
channel_18,rolling_abs_z_24,0.10772833973169327,model feature importance; non-causal
channel_19,value,0.23827624320983887,model feature importance; non-causal
channel_19,delta_1,0.07307835668325424,model feature importance; non-causal
channel_19,rolling_mean_24,0.41939976811408997,model feature importance; non-causal
channel_19,rolling_std_24,0.058193083852529526,model feature importance; non-causal
channel_19,rolling_margin_24,0.08842305094003677,model feature importance; non-causal
channel_19,rolling_abs_z_24,0.12262940406799316,model feature importance; non-causal
channel_20,value,0.37810957431793213,model feature importance; non-causal
channel_20,delta_1,0.020101986825466156,model feature importance; non-causal
channel_20,rolling_mean_24,0.3897380530834198,model feature importance; non-causal
channel_20,rolling_std_24,0.06581557542085648,model feature importance; non-causal
channel_20,rolling_margin_24,0.06338322907686234,model feature importance; non-causal
channel_20,rolling_abs_z_24,0.08285151422023773,model feature importance; non-causal
channel_21,value,0.2731533348560333,model feature importance; non-causal
channel_21,delta_1,0.08589714765548706,model feature importance; non-causal
channel_21,rolling_mean_24,0.44521474838256836,model feature importance; non-causal
channel_21,rolling_std_24,0.08476388454437256,model feature importance; non-causal
channel_21,rolling_margin_24,0.0660557672381401,model feature importance; non-causal
channel_21,rolling_abs_z_24,0.04491513594985008,model feature importance; non-causal
channel_22,value,0.3379277288913727,model feature importance; non-causal
channel_22,delta_1,0.019243042916059494,model feature importance; non-causal
channel_22,rolling_mean_24,0.5048832893371582,model feature importance; non-causal
channel_22,rolling_std_24,0.04493005573749542,model feature importance; non-causal
channel_22,rolling_margin_24,0.045892734080553055,model feature importance; non-causal
channel_22,rolling_abs_z_24,0.047123175114393234,model feature importance; non-causal
channel_23,value,0.20827510952949524,model feature importance; non-causal
channel_23,delta_1,0.04390375688672066,model feature importance; non-causal
channel_23,rolling_mean_24,0.5591529011726379,model feature importance; non-causal
channel_23,rolling_std_24,0.041289642453193665,model feature importance; non-causal
channel_23,rolling_margin_24,0.0645889937877655,model feature importance; non-causal
channel_23,rolling_abs_z_24,0.08278955519199371,model feature importance; non-causal
channel_24,value,0.36601799726486206,model feature importance; non-causal
channel_24,delta_1,0.04128208011388779,model feature importance; non-causal
channel_24,rolling_mean_24,0.45561984181404114,model feature importance; non-causal
channel_24,rolling_std_24,0.03823214769363403,model feature importance; non-causal
channel_24,rolling_margin_24,0.02773306705057621,model feature importance; non-causal
channel_24,rolling_abs_z_24,0.07111483067274094,model feature importance; non-causal
channel_25,value,0.3775353729724884,model feature importance; non-causal
channel_25,delta_1,0.05989319831132889,model feature importance; non-causal
channel_25,rolling_mean_24,0.3366853892803192,model feature importance; non-causal
channel_25,rolling_std_24,0.05516328662633896,model feature importance; non-causal
channel_25,rolling_margin_24,0.0685485303401947,model feature importance; non-causal
channel_25,rolling_abs_z_24,0.1021742895245552,model feature importance; non-causal
channel_26,value,0.27885881066322327,model feature importance; non-causal
channel_26,delta_1,0.03910364583134651,model feature importance; non-causal
channel_26,rolling_mean_24,0.518368124961853,model feature importance; non-causal
channel_26,rolling_std_24,0.029743827879428864,model feature importance; non-causal
channel_26,rolling_margin_24,0.053543820977211,model feature importance; non-causal
channel_26,rolling_abs_z_24,0.08038172125816345,model feature importance; non-causal
channel_27,value,0.3948829472064972,model feature importance; non-causal
channel_27,delta_1,0.022779151797294617,model feature importance; non-causal
channel_27,rolling_mean_24,0.43723782896995544,model feature importance; non-causal
channel_27,rolling_std_24,0.051427505910396576,model feature importance; non-causal
channel_27,rolling_margin_24,0.050769541412591934,model feature importance; non-causal
channel_27,rolling_abs_z_24,0.04290315508842468,model feature importance; non-causal
channel_28,value,0.24111102521419525,model feature importance; non-causal
channel_28,delta_1,0.0663817971944809,model feature importance; non-causal
channel_28,rolling_mean_24,0.42707231640815735,model feature importance; non-causal
channel_28,rolling_std_24,0.07375786453485489,model feature importance; non-causal
channel_28,rolling_margin_24,0.07972685992717743,model feature importance; non-causal
channel_28,rolling_abs_z_24,0.11195012181997299,model feature importance; non-causal
channel_29,value,0.22646567225456238,model feature importance; non-causal
channel_29,delta_1,0.11097521334886551,model feature importance; non-causal
channel_29,rolling_mean_24,0.43191900849342346,model feature importance; non-causal
channel_29,rolling_std_24,0.08684466034173965,model feature importance; non-causal
channel_29,rolling_margin_24,0.050353068858385086,model feature importance; non-causal
channel_29,rolling_abs_z_24,0.09344237297773361,model feature importance; non-causal
channel_30,value,0.31396034359931946,model feature importance; non-causal
channel_30,delta_1,0.042542312294244766,model feature importance; non-causal
channel_30,rolling_mean_24,0.5462665557861328,model feature importance; non-causal
channel_30,rolling_std_24,0.0399051159620285,model feature importance; non-causal
channel_30,rolling_margin_24,0.02843816578388214,model feature importance; non-causal
channel_30,rolling_abs_z_24,0.028887495398521423,model feature importance; non-causal
channel_31,value,0.34156402945518494,model feature importance; non-causal
channel_31,delta_1,0.004285403061658144,model feature importance; non-causal
channel_31,rolling_mean_24,0.5378531813621521,model feature importance; non-causal
channel_31,rolling_std_24,0.03589711710810661,model feature importance; non-causal
channel_31,rolling_margin_24,0.04280108958482742,model feature importance; non-causal
channel_31,rolling_abs_z_24,0.0375991053879261,model feature importance; non-causal
channel_32,value,0.4066537618637085,model feature importance; non-causal
channel_32,delta_1,0.04695145785808563,model feature importance; non-causal
channel_32,rolling_mean_24,0.43421047925949097,model feature importance; non-causal
channel_32,rolling_std_24,0.02719603106379509,model feature importance; non-causal
channel_32,rolling_margin_24,0.040213070809841156,model feature importance; non-causal
channel_32,rolling_abs_z_24,0.04477524384856224,model feature importance; non-causal
channel_33,value,0.40923625230789185,model feature importance; non-causal
channel_33,delta_1,0.02063792571425438,model feature importance; non-causal
channel_33,rolling_mean_24,0.47861382365226746,model feature importance; non-causal
channel_33,rolling_std_24,0.03717734292149544,model feature importance; non-causal
channel_33,rolling_margin_24,0.03104701265692711,model feature importance; non-causal
channel_33,rolling_abs_z_24,0.02328757755458355,model feature importance; non-causal
channel_34,value,0.33541420102119446,model feature importance; non-causal
channel_34,delta_1,0.008956745266914368,model feature importance; non-causal
channel_34,rolling_mean_24,0.5296291708946228,model feature importance; non-causal
channel_34,rolling_std_24,0.04918285831809044,model feature importance; non-causal
channel_34,rolling_margin_24,0.020532147958874702,model feature importance; non-causal
channel_34,rolling_abs_z_24,0.05628485232591629,model feature importance; non-causal
channel_35,value,0.2117079198360443,model feature importance; non-causal
channel_35,delta_1,0.039973266422748566,model feature importance; non-causal
channel_35,rolling_mean_24,0.4812372326850891,model feature importance; non-causal
channel_35,rolling_std_24,0.07914821058511734,model feature importance; non-causal
channel_35,rolling_margin_24,0.09752770513296127,model feature importance; non-causal
channel_35,rolling_abs_z_24,0.09040567278862,model feature importance; non-causal
channel_36,value,0.2956817150115967,model feature importance; non-causal
channel_36,delta_1,0.04883817583322525,model feature importance; non-causal
channel_36,rolling_mean_24,0.3684529960155487,model feature importance; non-causal
channel_36,rolling_std_24,0.045564282685518265,model feature importance; non-causal
channel_36,rolling_margin_24,0.0659915953874588,model feature importance; non-causal
channel_36,rolling_abs_z_24,0.17547129094600677,model feature importance; non-causal
channel_37,value,0.29985061287879944,model feature importance; non-causal
channel_37,delta_1,0.039603494107723236,model feature importance; non-causal
channel_37,rolling_mean_24,0.4610884189605713,model feature importance; non-causal
channel_37,rolling_std_24,0.03950156271457672,model feature importance; non-causal
channel_37,rolling_margin_24,0.044029004871845245,model feature importance; non-causal
channel_37,rolling_abs_z_24,0.11592689901590347,model feature importance; non-causal
channel_38,value,0.29288381338119507,model feature importance; non-causal
channel_38,delta_1,0.00989833939820528,model feature importance; non-causal
channel_38,rolling_mean_24,0.5470689535140991,model feature importance; non-causal
channel_38,rolling_std_24,0.056729838252067566,model feature importance; non-causal
channel_38,rolling_margin_24,0.05560198798775673,model feature importance; non-causal
channel_38,rolling_abs_z_24,0.03781711310148239,model feature importance; non-causal
channel_39,value,0.2601204812526703,model feature importance; non-causal
channel_39,delta_1,0.019218752160668373,model feature importance; non-causal
channel_39,rolling_mean_24,0.5994988679885864,model feature importance; non-causal
channel_39,rolling_std_24,0.034362778067588806,model feature importance; non-causal
channel_39,rolling_margin_24,0.05108043551445007,model feature importance; non-causal
channel_39,rolling_abs_z_24,0.03571873530745506,model feature importance; non-causal
channel_40,value,0.4046180844306946,model feature importance; non-causal
channel_40,delta_1,0.026856282725930214,model feature importance; non-causal
channel_40,rolling_mean_24,0.4036500155925751,model feature importance; non-causal
channel_40,rolling_std_24,0.053290337324142456,model feature importance; non-causal
channel_40,rolling_margin_24,0.019948044791817665,model feature importance; non-causal
channel_40,rolling_abs_z_24,0.09163723140954971,model feature importance; non-causal
channel_41,value,0.22972261905670166,model feature importance; non-causal
channel_41,delta_1,0.021143658086657524,model feature importance; non-causal
channel_41,rolling_mean_24,0.5719447135925293,model feature importance; non-causal
channel_41,rolling_std_24,0.12747500836849213,model feature importance; non-causal
channel_41,rolling_margin_24,0.025960436090826988,model feature importance; non-causal
channel_41,rolling_abs_z_24,0.023753540590405464,model feature importance; non-causal
channel_42,value,0.13573651015758514,model feature importance; non-causal
channel_42,delta_1,0.023818083107471466,model feature importance; non-causal
channel_42,rolling_mean_24,0.6535103917121887,model feature importance; non-causal
channel_42,rolling_std_24,0.12260176986455917,model feature importance; non-causal
channel_42,rolling_margin_24,0.03484466299414635,model feature importance; non-causal
channel_42,rolling_abs_z_24,0.029488563537597656,model feature importance; non-causal
channel_43,value,0.22618775069713593,model feature importance; non-causal
channel_43,delta_1,0.0252557173371315,model feature importance; non-causal
channel_43,rolling_mean_24,0.5959017276763916,model feature importance; non-causal
channel_43,rolling_std_24,0.10919415950775146,model feature importance; non-causal
