ID,Class,Subclass,Category,Dimensionality,Locality,Length
id_1,18,0,2,0,0,1
id_2,19,0,0,0,1,1
id_3,19,0,0,0,0,1
id_4,19,0,0,0,1,1
id_5,19,0,0,0,1,1
id_6,19,0,0,0,1,1
id_7,19,0,0,0,1,1
id_8,19,0,0,0,1,1
id_9,19,0,0,0,1,1
id_10,21,0,0,0,0,1
id_11,2,6,0,0,1,1
id_12,2,6,0,0,0,1
id_13,2,6,0,0,0,1
id_14,16,0,2,0,0,1
id_15,16,6,2,0,0,1
id_16,7,6,2,0,1,1
id_17,16,6,2,0,0,1
id_18,21,0,0,0,0,1
id_19,7,0,2,0,0,1
id_20,9,6,0,0,1,1
id_21,16,6,2,0,0,1
id_22,7,6,2,0,0,1
id_23,7,6,2,0,1,1
id_24,1,0,2,0,1,1
id_25,10,6,0,0,0,1
id_26,20,0,2,0,1,1
id_27,20,0,2,0,1,1
id_28,20,0,2,0,1,1
id_29,20,0,2,0,1,1
id_30,19,0,0,0,1,1
id_31,20,0,2,0,1,1
id_32,20,0,2,0,1,1
id_33,20,0,2,0,1,1
id_34,20,0,2,0,0,1
id_35,5,0,2,0,1,1
id_36,19,0,0,0,1,1
id_37,1,6,2,0,1,1
id_38,3,6,2,0,1,1
id_39,7,1,2,0,1,1
id_40,7,6,2,0,1,1
id_41,1,0,2,0,1,1
id_42,0,6,0,1,1,0
id_43,4,0,0,0,1,1
id_44,16,6,2,0,0,1
id_45,19,1,0,0,0,1
id_46,19,0,0,0,1,1
id_47,7,6,2,0,1,1
id_48,7,6,2,0,1,1
id_49,3,6,2,0,1,1
id_50,3,6,2,0,1,1
id_51,7,6,2,0,1,1
id_52,17,6,1,2,2,2
id_53,17,6,1,2,2,2
id_54,17,6,1,2,2,2
id_55,7,2,2,0,1,0
id_56,19,0,0,0,1,1
id_57,17,6,1,2,2,2
id_58,19,0,0,0,1,1
id_59,5,0,2,0,0,1
id_60,14,1,2,1,1,1
id_61,14,0,0,1,0,1
id_62,14,2,0,1,0,1
id_63,14,2,0,1,0,1
id_64,14,0,0,1,0,1
id_65,14,2,0,1,0,1
id_66,14,2,0,1,0,1
id_67,14,0,0,1,0,1
id_68,14,0,0,1,0,1
id_69,14,1,2,1,1,1
id_70,14,1,2,1,0,1
id_71,14,1,2,1,0,1
id_72,14,1,2,1,0,1
id_73,6,0,0,0,0,1
id_74,14,1,2,1,0,1
id_75,14,1,2,1,0,1
id_76,14,1,2,1,0,1
id_77,5,0,2,0,0,1
id_78,18,1,2,0,0,1
id_79,11,0,2,0,0,1
id_80,5,0,2,0,0,1
id_81,5,0,2,0,0,1
id_82,19,0,0,0,1,1
id_83,15,0,0,0,0,1
id_84,8,0,0,0,0,1
id_85,13,6,0,0,1,1
id_86,6,0,0,0,0,1
id_87,5,0,2,0,0,1
id_88,5,0,2,0,0,1
id_89,11,1,0,0,0,1
id_90,15,1,0,0,0,1
id_91,15,1,0,0,1,1
id_92,19,0,0,0,0,1
id_93,15,1,0,0,0,1
id_94,19,0,0,0,1,1
id_95,5,0,2,0,0,1
id_96,6,0,0,0,0,1
id_97,19,0,0,0,0,1
id_98,5,0,2,0,0,1
id_99,19,0,0,0,1,1
id_100,5,0,2,0,0,1
id_101,12,6,0,0,0,1
id_102,12,6,0,0,0,1
id_103,12,6,0,0,0,1
id_104,5,0,2,0,0,1
id_105,19,0,0,0,1,1
id_106,5,1,2,0,0,1
id_107,15,1,0,0,0,1
id_108,19,0,0,0,1,1
id_109,15,1,0,0,0,0
id_110,15,1,0,0,0,0
id_111,19,0,0,0,1,1
id_112,5,0,2,0,0,1
id_113,19,0,0,0,1,1
id_114,15,1,0,0,0,0
id_115,19,0,0,0,1,1
id_116,5,2,0,0,0,1
id_117,5,0,2,0,0,1
id_118,15,1,0,0,0,0
id_119,19,0,0,0,0,1
id_120,19,0,0,0,1,1
id_121,15,1,0,0,0,1
id_122,15,1,0,0,0,1
id_123,5,0,2,0,0,1
id_124,15,1,0,0,0,1
id_125,11,2,2,0,0,1
id_126,19,0,0,0,1,1
id_127,19,0,0,0,1,1
id_128,5,0,2,0,0,1
id_129,15,1,0,0,0,0
id_130,15,1,0,0,0,0
id_131,19,0,0,0,1,1
id_132,15,1,0,0,0,0
id_133,5,0,2,0,0,1
id_134,5,3,0,0,0,1
id_135,19,0,0,0,1,1
id_136,5,0,2,0,0,1
id_137,19,0,0,0,1,1
id_138,6,0,0,0,0,1
id_139,5,0,2,0,1,1
id_140,15,1,0,0,0,0
id_141,19,1,0,0,1,1
id_142,15,1,0,0,0,1
id_143,19,1,0,0,1,1
id_144,14,0,0,1,1,1
id_145,14,3,0,0,0,1
id_146,19,0,0,0,0,1
id_147,5,0,2,0,1,1
id_148,19,0,0,0,1,1
id_149,15,1,0,0,0,1
id_150,15,1,0,0,0,1
id_151,5,0,2,0,0,1
id_152,19,0,0,0,1,1
id_153,8,0,0,0,0,1
id_154,5,0,2,0,0,1
id_155,5,4,2,0,1,1
id_156,19,0,0,0,1,1
id_157,8,0,0,0,0,1
id_158,14,0,0,1,0,1
id_159,5,0,2,0,1,1
id_160,15,1,0,0,0,1
id_161,19,0,0,0,1,1
id_162,19,0,0,0,1,1
id_163,14,0,0,1,0,1
id_164,5,0,2,0,1,1
id_165,15,1,0,0,0,0
id_166,15,1,0,0,0,1
id_167,12,6,0,0,0,1
id_168,14,1,2,1,0,1
id_169,5,0,2,0,1,1
id_170,14,1,2,1,0,1
id_171,19,0,0,0,1,1
id_172,15,1,0,0,0,0
id_173,14,1,2,1,0,1
id_174,6,1,2,0,1,1
id_175,5,0,2,0,1,1
id_176,15,1,0,0,0,1
id_177,15,1,0,0,0,1
id_178,19,0,0,0,1,1
id_179,19,0,0,0,0,1
id_180,11,3,2,0,0,1
id_181,19,0,0,0,1,1
id_182,5,5,2,0,1,1
id_183,15,1,0,0,0,1
id_184,15,1,0,0,0,1
id_185,15,0,0,0,0,1
id_186,15,1,0,0,0,1
id_187,15,1,0,0,0,1
id_188,19,0,0,0,1,1
id_189,19,0,0,0,1,1
id_190,14,1,2,1,1,1
id_191,14,2,0,1,1,1
id_192,14,2,0,1,0,1
id_193,14,2,0,0,1,1
id_194,14,0,0,1,1,1
id_195,14,0,0,1,0,1
id_196,14,1,2,1,0,1
id_197,14,1,2,1,0,1
id_198,14,1,2,1,0,1
id_199,14,0,0,1,1,1
id_200,6,0,0,0,0,1
