Channel,Subsystem,Physical Unit,Group,Target
channel_1,0,0,1,0
channel_2,0,0,1,0
channel_3,0,0,1,0
channel_4,0,1,2,0
channel_5,0,1,2,0
channel_6,0,1,2,0
channel_7,0,1,2,0
channel_8,0,1,2,0
channel_9,0,1,2,0
channel_10,0,1,2,0
channel_11,0,1,2,0
channel_12,3,2,3,1
channel_13,3,2,3,1
channel_14,3,2,4,1
channel_15,3,2,7,1
channel_16,3,2,6,1
channel_17,3,2,5,1
channel_18,3,2,5,1
channel_19,3,2,3,1
channel_20,3,2,3,1
channel_21,3,2,4,1
channel_22,3,2,7,1
channel_23,3,2,7,1
channel_24,3,2,6,1
channel_25,3,2,5,1
channel_26,3,2,5,1
channel_27,3,2,3,1
channel_28,3,2,3,1
channel_29,3,2,4,1
channel_30,3,2,4,1
channel_31,3,2,7,1
channel_32,3,2,6,1
channel_33,3,2,6,1
channel_34,3,2,5,1
channel_35,3,2,5,1
channel_36,3,2,3,1
channel_37,3,2,3,1
channel_38,3,2,4,1
channel_39,3,2,7,1
channel_40,3,2,6,1
channel_41,2,3,8,1
channel_42,2,3,8,1
channel_43,2,3,8,1
channel_44,2,3,8,1
channel_45,2,3,8,1
channel_46,2,3,8,1
channel_47,3,2,9,1
channel_48,3,2,9,1
channel_49,3,2,9,1
channel_50,3,2,10,1
channel_51,3,2,10,1
channel_52,3,2,10,1
channel_53,1,4,11,0
channel_54,1,4,12,0
channel_55,1,4,11,0
channel_56,1,4,12,0
channel_57,3,2,13,1
channel_58,3,2,13,1
channel_59,3,2,13,1
channel_60,3,2,13,1
channel_61,0,5,14,1
channel_62,0,5,14,1
channel_63,0,5,14,1
channel_64,3,2,15,1
channel_65,3,2,15,1
channel_66,3,2,16,1
channel_67,0,4,17,0
channel_68,0,4,17,0
channel_69,0,4,17,0
channel_70,1,3,18,1
channel_71,1,3,18,1
channel_72,1,3,18,1
channel_73,1,3,18,1
channel_74,1,3,18,1
channel_75,1,3,18,1
channel_76,1,3,18,1
